DBN,Category,Tested,Passed,,Category,Tested,Passed,,%Disadvantaged,%NotDisadvantaged,%PASSED,DisadvantagedDecile,PassedDecile,Passed
01M034,Econ Disadv,36,0,,Not Econ Disadv,1,0,,0.97,0.03,0,10,0,0
01M140,Econ Disadv,48,29,,Not Econ Disadv,12,42,,0.8,0.2,0.32,8,3,32
01M184,Econ Disadv,62,71,,Not Econ Disadv,19,100,,0.77,0.23,0.78,8,8,78
01M188,Econ Disadv,47,0,,Not Econ Disadv,3,0,,0.94,0.06,0,9,0,0
01M332,Econ Disadv,58,14,,Not Econ Disadv,10,50,,0.85,0.15,0.19,9,2,19
01M378,Econ Disadv,62,32,,Not Econ Disadv,9,44,,0.87,0.13,0.34,9,3,34
01M450,Econ Disadv,50,64,,Not Econ Disadv,33,73,,0.6,0.4,0.68,6,7,68
01M539,Econ Disadv,16,100,,Not Econ Disadv,108,100,,0.13,0.87,1,1,10,100
01M839,Econ Disadv,76,51,,Not Econ Disadv,34,71,,0.69,0.31,0.57,7,6,57
02M104,Econ Disadv,154,56,,Not Econ Disadv,186,81,,0.45,0.55,0.7,5,7,70
02M114,Econ Disadv,20,95,,Not Econ Disadv,126,94,,0.14,0.86,0.94,1,9,94
02M126,Econ Disadv,66,76,,Not Econ Disadv,46,93,,0.59,0.41,0.83,6,8,83
02M131,Econ Disadv,104,40,,Not Econ Disadv,15,73,,0.87,0.13,0.44,9,4,44
02M167,Econ Disadv,132,70,,Not Econ Disadv,297,91,,0.31,0.69,0.85,3,8,85
02M177,Econ Disadv,26,50,,Not Econ Disadv,50,76,,0.34,0.66,0.67,3,7,67
02M217,Econ Disadv,16,25,,Not Econ Disadv,10,50,,0.62,0.38,0.35,6,3,35
02M225,Econ Disadv,4,0,,Not Econ Disadv,6,0,,0.4,0.6,0,4,0,0
02M255,Econ Disadv,14,93,,Not Econ Disadv,113,92,,0.11,0.89,0.92,1,9,92
02M260,Econ Disadv,9,89,,Not Econ Disadv,86,94,,0.09,0.91,0.94,1,9,94
02M276,Econ Disadv,21,57,,Not Econ Disadv,66,79,,0.24,0.76,0.74,2,7,74
02M289,Econ Disadv,42,76,,Not Econ Disadv,41,85,,0.51,0.49,0.8,5,8,80
02M297,Econ Disadv,53,38,,Not Econ Disadv,155,66,,0.25,0.75,0.59,3,6,59
02M312,Econ Disadv,59,90,,Not Econ Disadv,113,94,,0.34,0.66,0.93,3,9,93
02M347,Econ Disadv,5,0,,Not Econ Disadv,0,0,,1,0,0,10,0,0
02M397,Econ Disadv,14,57,,Not Econ Disadv,44,82,,0.24,0.76,0.76,2,8,76
02M407,Econ Disadv,5,0,,Not Econ Disadv,6,0,,0.45,0.55,0,5,0,0
02M408,Econ Disadv,14,57,,Not Econ Disadv,27,89,,0.34,0.66,0.78,3,8,78
02M413,Econ Disadv,35,46,,Not Econ Disadv,53,70,,0.4,0.6,0.6,4,6,60
02M422,Econ Disadv,38,29,,Not Econ Disadv,9,44,,0.81,0.19,0.32,8,3,32
02M442,Econ Disadv,7,57,,Not Econ Disadv,13,85,,0.35,0.65,0.75,4,8,75
02M896,Econ Disadv,61,51,,Not Econ Disadv,51,73,,0.54,0.46,0.61,5,6,61
02M933,Econ Disadv,40,25,,Not Econ Disadv,14,29,,0.74,0.26,0.26,7,3,26
03M054,Econ Disadv,51,63,,Not Econ Disadv,196,95,,0.21,0.79,0.88,2,9,88
03M076,Econ Disadv,47,0,,Not Econ Disadv,3,0,,0.94,0.06,0,9,0,0
03M149,Econ Disadv,25,20,,Not Econ Disadv,0,0,,1,0,0.2,10,2,20
03M180,Econ Disadv,29,17,,Not Econ Disadv,8,38,,0.78,0.22,0.22,8,2,22
03M191,Econ Disadv,51,25,,Not Econ Disadv,7,43,,0.88,0.12,0.27,9,3,27
03M243,Econ Disadv,8,100,,Not Econ Disadv,48,94,,0.14,0.86,0.95,1,9,95
03M245,Econ Disadv,40,68,,Not Econ Disadv,90,87,,0.31,0.69,0.81,3,8,81
03M247,Econ Disadv,43,42,,Not Econ Disadv,7,86,,0.86,0.14,0.48,9,5,48
03M250,Econ Disadv,30,10,,Not Econ Disadv,16,25,,0.65,0.35,0.15,7,2,15
03M256,Econ Disadv,35,40,,Not Econ Disadv,8,63,,0.81,0.19,0.44,8,4,44
03M258,Econ Disadv,53,36,,Not Econ Disadv,13,69,,0.8,0.2,0.43,8,4,43
03M291,Econ Disadv,14,86,,Not Econ Disadv,84,83,,0.14,0.86,0.83,1,8,83
03M333,Econ Disadv,16,63,,Not Econ Disadv,43,79,,0.27,0.73,0.75,3,7,75
03M334,Econ Disadv,12,100,,Not Econ Disadv,42,95,,0.22,0.78,0.96,2,10,96
03M415,Econ Disadv,29,0,,Not Econ Disadv,4,0,,0.88,0.12,0,9,0,0
03M421,Econ Disadv,47,32,,Not Econ Disadv,9,56,,0.84,0.16,0.36,8,4,36
03M859,Econ Disadv,2,0,,Not Econ Disadv,13,0,,0.13,0.87,0,1,0,0
03M860,Econ Disadv,14,0,,Not Econ Disadv,3,0,,0.82,0.18,0,8,0,0
03M862,Econ Disadv,89,42,,Not Econ Disadv,39,62,,0.7,0.3,0.48,7,5,48
04M007,Econ Disadv,56,0,,Not Econ Disadv,4,0,,0.93,0.07,0,9,0,0
04M012,Econ Disadv,35,94,,Not Econ Disadv,38,92,,0.48,0.52,0.93,5,9,93
04M057,Econ Disadv,73,27,,Not Econ Disadv,10,50,,0.88,0.12,0.3,9,3,30
04M072,Econ Disadv,50,24,,Not Econ Disadv,11,9,,0.82,0.18,0.21,8,2,21
04M096,Econ Disadv,42,0,,Not Econ Disadv,1,0,,0.98,0.02,0,10,0,0
04M108,Econ Disadv,47,23,,Not Econ Disadv,7,43,,0.87,0.13,0.26,9,3,26
04M171,Econ Disadv,51,65,,Not Econ Disadv,35,66,,0.59,0.41,0.65,6,7,65
04M206,Econ Disadv,51,14,,Not Econ Disadv,11,27,,0.82,0.18,0.16,8,2,16
04M224,Econ Disadv,46,48,,Not Econ Disadv,8,75,,0.85,0.15,0.52,9,5,52
04M372,Econ Disadv,55,20,,Not Econ Disadv,7,14,,0.89,0.11,0.19,9,2,19
04M377,Econ Disadv,44,0,,Not Econ Disadv,2,0,,0.96,0.04,0,10,0,0
04M610,Econ Disadv,44,0,,Not Econ Disadv,4,0,,0.92,0.08,0,9,0,0
04M825,Econ Disadv,60,35,,Not Econ Disadv,13,23,,0.82,0.18,0.33,8,3,33
04M964,Econ Disadv,30,27,,Not Econ Disadv,10,60,,0.75,0.25,0.35,8,4,35
05M046,Econ Disadv,52,0,,Not Econ Disadv,5,0,,0.91,0.09,0,9,0,0
05M123,Econ Disadv,57,0,,Not Econ Disadv,4,0,,0.93,0.07,0,9,0,0
05M129,Econ Disadv,56,0,,Not Econ Disadv,4,0,,0.93,0.07,0,9,0,0
05M148,Econ Disadv,31,6,,Not Econ Disadv,14,7,,0.69,0.31,0.06,7,1,6
05M161,Econ Disadv,99,21,,Not Econ Disadv,10,30,,0.91,0.09,0.22,9,2,22
05M286,Econ Disadv,37,0,,Not Econ Disadv,5,0,,0.88,0.12,0,9,0,0
05M362,Econ Disadv,40,88,,Not Econ Disadv,44,100,,0.48,0.52,0.94,5,9,94
05M499,Econ Disadv,80,13,,Not Econ Disadv,11,18,,0.88,0.12,0.14,9,1,14
05M514,Econ Disadv,25,0,,Not Econ Disadv,2,0,,0.93,0.07,0,9,0,0
05M517,Econ Disadv,14,43,,Not Econ Disadv,6,50,,0.7,0.3,0.45,7,5,45
05M670,Econ Disadv,39,23,,Not Econ Disadv,14,21,,0.74,0.26,0.22,7,2,22
06M018,Econ Disadv,37,0,,Not Econ Disadv,3,0,,0.93,0.08,0,9,0,0
06M052,Econ Disadv,63,0,,Not Econ Disadv,4,0,,0.94,0.06,0,9,0,0
06M143,Econ Disadv,66,21,,Not Econ Disadv,6,0,,0.92,0.08,0.19,9,2,19
06M187,Econ Disadv,40,55,,Not Econ Disadv,40,88,,0.5,0.5,0.72,5,7,72
06M209,Econ Disadv,77,0,,Not Econ Disadv,5,0,,0.94,0.06,0,9,0,0
06M210,Econ Disadv,36,0,,Not Econ Disadv,2,0,,0.95,0.05,0,9,0,0
06M223,Econ Disadv,66,71,,Not Econ Disadv,25,72,,0.73,0.27,0.71,7,7,71
06M278,Econ Disadv,49,41,,Not Econ Disadv,21,57,,0.7,0.3,0.46,7,5,46
06M293,Econ Disadv,74,41,,Not Econ Disadv,15,60,,0.83,0.17,0.44,8,4,44
06M311,Econ Disadv,40,58,,Not Econ Disadv,8,100,,0.83,0.17,0.65,8,7,65
06M319,Econ Disadv,113,0,,Not Econ Disadv,4,0,,0.97,0.03,0,10,0,0
06M322,Econ Disadv,116,17,,Not Econ Disadv,6,33,,0.95,0.05,0.18,10,2,18
06M324,Econ Disadv,96,30,,Not Econ Disadv,7,43,,0.93,0.07,0.31,9,3,31
06M328,Econ Disadv,53,0,,Not Econ Disadv,1,0,,0.98,0.02,0,10,0,0
06M346,Econ Disadv,77,22,,Not Econ Disadv,6,17,,0.93,0.07,0.22,9,2,22
06M348,Econ Disadv,68,21,,Not Econ Disadv,11,36,,0.86,0.14,0.23,9,2,23
06M349,Econ Disadv,27,0,,Not Econ Disadv,1,0,,0.96,0.04,0,10,0,0
06M366,Econ Disadv,52,58,,Not Econ Disadv,8,63,,0.87,0.13,0.59,9,6,59
06M528,Econ Disadv,85,0,,Not Econ Disadv,2,0,,0.98,0.02,0,10,0,0
07X005,Econ Disadv,72,0,,Not Econ Disadv,4,0,,0.95,0.05,0,9,0,0
07X029,Econ Disadv,80,21,,Not Econ Disadv,8,0,,0.91,0.09,0.19,9,2,19
07X031,Econ Disadv,58,21,,Not Econ Disadv,11,36,,0.84,0.16,0.23,8,2,23
07X151,Econ Disadv,70,0,,Not Econ Disadv,1,0,,0.99,0.01,0,10,0,0
07X221,Econ Disadv,75,0,,Not Econ Disadv,3,0,,0.96,0.04,0,10,0,0
07X223,Econ Disadv,78,0,,Not Econ Disadv,4,0,,0.95,0.05,0,10,0,0
07X224,Econ Disadv,80,0,,Not Econ Disadv,1,0,,0.99,0.01,0,10,0,0
07X296,Econ Disadv,50,0,,Not Econ Disadv,2,0,,0.96,0.04,0,10,0,0
07X298,Econ Disadv,67,3,,Not Econ Disadv,8,25,,0.89,0.11,0.05,9,1,5
07X343,Econ Disadv,98,0,,Not Econ Disadv,2,0,,0.98,0.02,0,10,0,0
07X500,Econ Disadv,37,57,,Not Econ Disadv,9,44,,0.8,0.2,0.54,8,5,54
07X551,Econ Disadv,74,0,,Not Econ Disadv,3,0,,0.96,0.04,0,10,0,0
07X584,Econ Disadv,65,0,,Not Econ Disadv,3,0,,0.96,0.04,0,10,0,0
08X071,Econ Disadv,137,39,,Not Econ Disadv,44,43,,0.76,0.24,0.4,8,4,40
08X101,Econ Disadv,147,56,,Not Econ Disadv,36,58,,0.8,0.2,0.56,8,6,56
08X123,Econ Disadv,97,18,,Not Econ Disadv,12,25,,0.89,0.11,0.19,9,2,19
08X131,Econ Disadv,114,19,,Not Econ Disadv,14,21,,0.89,0.11,0.19,9,2,19
08X269,Econ Disadv,80,19,,Not Econ Disadv,10,10,,0.89,0.11,0.18,9,2,18
08X301,Econ Disadv,62,0,,Not Econ Disadv,2,0,,0.97,0.03,0,10,0,0
08X302,Econ Disadv,154,0,,Not Econ Disadv,4,0,,0.97,0.03,0,10,0,0
08X337,Econ Disadv,122,39,,Not Econ Disadv,33,48,,0.79,0.21,0.41,8,4,41
08X367,Econ Disadv,78,29,,Not Econ Disadv,14,50,,0.85,0.15,0.32,8,3,32
08X371,Econ Disadv,84,39,,Not Econ Disadv,28,43,,0.75,0.25,0.4,8,4,40
08X375,Econ Disadv,64,0,,Not Econ Disadv,2,0,,0.97,0.03,0,10,0,0
08X376,Econ Disadv,49,0,,Not Econ Disadv,3,0,,0.94,0.06,0,9,0,0
08X424,Econ Disadv,75,21,,Not Econ Disadv,8,0,,0.9,0.1,0.19,9,2,19
08X448,Econ Disadv,98,21,,Not Econ Disadv,20,20,,0.83,0.17,0.21,8,2,21
08X467,Econ Disadv,87,14,,Not Econ Disadv,15,20,,0.85,0.15,0.15,9,1,15
08X562,Econ Disadv,198,24,,Not Econ Disadv,28,46,,0.88,0.12,0.27,9,3,27
09X004,Econ Disadv,41,17,,Not Econ Disadv,6,50,,0.87,0.13,0.21,9,2,21
09X022,Econ Disadv,125,0,,Not Econ Disadv,2,0,,0.98,0.02,0,10,0,0
09X117,Econ Disadv,130,8,,Not Econ Disadv,8,38,,0.94,0.06,0.1,9,1,10
09X128,Econ Disadv,106,60,,Not Econ Disadv,6,83,,0.95,0.05,0.61,9,6,61
09X215,Econ Disadv,110,35,,Not Econ Disadv,13,38,,0.89,0.11,0.35,9,4,35
09X218,Econ Disadv,96,35,,Not Econ Disadv,16,31,,0.86,0.14,0.34,9,3,34
09X219,Econ Disadv,94,6,,Not Econ Disadv,7,0,,0.93,0.07,0.06,9,1,6
09X229,Econ Disadv,71,0,,Not Econ Disadv,5,0,,0.93,0.07,0,9,0,0
09X231,Econ Disadv,48,19,,Not Econ Disadv,15,7,,0.76,0.24,0.16,8,2,16
09X232,Econ Disadv,153,0,,Not Econ Disadv,4,0,,0.97,0.03,0,10,0,0
09X241,Econ Disadv,74,0,,Not Econ Disadv,4,0,,0.95,0.05,0,9,0,0
09X303,Econ Disadv,93,0,,Not Econ Disadv,1,0,,0.99,0.01,0,10,0,0
09X313,Econ Disadv,76,0,,Not Econ Disadv,5,0,,0.94,0.06,0,9,0,0
09X323,Econ Disadv,103,18,,Not Econ Disadv,9,33,,0.92,0.08,0.19,9,2,19
09X324,Econ Disadv,54,0,,Not Econ Disadv,4,0,,0.93,0.07,0,9,0,0
09X327,Econ Disadv,94,39,,Not Econ Disadv,7,29,,0.93,0.07,0.38,9,4,38
09X328,Econ Disadv,73,12,,Not Econ Disadv,12,17,,0.86,0.14,0.13,9,1,13
09X339,Econ Disadv,139,14,,Not Econ Disadv,13,15,,0.91,0.09,0.14,9,1,14
09X350,Econ Disadv,16,0,,Not Econ Disadv,1,0,,0.94,0.06,0,9,0,0
09X361,Econ Disadv,119,0,,Not Econ Disadv,5,0,,0.96,0.04,0,10,0,0
09X413,Econ Disadv,43,30,,Not Econ Disadv,10,40,,0.81,0.19,0.32,8,3,32
09X454,Econ Disadv,126,52,,Not Econ Disadv,10,60,,0.93,0.07,0.53,9,5,53
09X505,Econ Disadv,72,51,,Not Econ Disadv,12,58,,0.86,0.14,0.52,9,5,52
09X568,Econ Disadv,65,46,,Not Econ Disadv,17,65,,0.79,0.21,0.5,8,5,50
09X594,Econ Disadv,61,0,,Not Econ Disadv,4,0,,0.94,0.06,0,9,0,0
10X003,Econ Disadv,22,0,,Not Econ Disadv,1,0,,0.96,0.04,0,10,0,0
10X015,Econ Disadv,44,48,,Not Econ Disadv,12,67,,0.79,0.21,0.52,8,5,52
10X020,Econ Disadv,107,0,,Not Econ Disadv,4,0,,0.96,0.04,0,10,0,0
10X037,Econ Disadv,43,23,,Not Econ Disadv,13,54,,0.77,0.23,0.3,8,3,30
10X045,Econ Disadv,201,24,,Not Econ Disadv,10,40,,0.95,0.05,0.25,10,2,25
10X080,Econ Disadv,186,27,,Not Econ Disadv,19,21,,0.91,0.09,0.26,9,3,26
10X095,Econ Disadv,125,26,,Not Econ Disadv,29,59,,0.81,0.19,0.32,8,3,32
10X118,Econ Disadv,319,40,,Not Econ Disadv,33,70,,0.91,0.09,0.43,9,4,43
10X141,Econ Disadv,110,27,,Not Econ Disadv,127,61,,0.46,0.54,0.45,5,5,45
10X206,Econ Disadv,56,0,,Not Econ Disadv,3,0,,0.95,0.05,0,9,0,0
10X225,Econ Disadv,47,26,,Not Econ Disadv,11,9,,0.81,0.19,0.23,8,2,23
10X228,Econ Disadv,80,65,,Not Econ Disadv,9,67,,0.9,0.1,0.65,9,7,65
10X243,Econ Disadv,90,36,,Not Econ Disadv,6,17,,0.94,0.06,0.35,9,3,35
10X244,Econ Disadv,247,0,,Not Econ Disadv,2,0,,0.99,0.01,0,10,0,0
10X254,Econ Disadv,144,19,,Not Econ Disadv,15,13,,0.91,0.09,0.18,9,2,18
10X279,Econ Disadv,114,0,,Not Econ Disadv,3,0,,0.97,0.03,0,10,0,0
10X280,Econ Disadv,94,0,,Not Econ Disadv,3,0,,0.97,0.03,0,10,0,0
10X308,Econ Disadv,84,0,,Not Econ Disadv,4,0,,0.95,0.05,0,10,0,0
10X315,Econ Disadv,27,59,,Not Econ Disadv,0,0,,1,0,0.59,10,6,59
10X331,Econ Disadv,108,28,,Not Econ Disadv,15,20,,0.88,0.12,0.27,9,3,27
10X342,Econ Disadv,49,12,,Not Econ Disadv,0,0,,1,0,0.12,10,1,12
10X363,Econ Disadv,177,15,,Not Econ Disadv,14,7,,0.93,0.07,0.14,9,1,14
10X368,Econ Disadv,134,29,,Not Econ Disadv,16,38,,0.89,0.11,0.3,9,3,30
10X390,Econ Disadv,173,0,,Not Econ Disadv,1,0,,0.99,0.01,0,10,0,0
10X391,Econ Disadv,141,10,,Not Econ Disadv,9,11,,0.94,0.06,0.1,9,1,10
10X447,Econ Disadv,145,0,,Not Econ Disadv,4,0,,0.97,0.03,0,10,0,0
10X459,Econ Disadv,88,13,,Not Econ Disadv,14,14,,0.86,0.14,0.13,9,1,13
11X019,Econ Disadv,35,37,,Not Econ Disadv,26,62,,0.57,0.43,0.48,6,5,48
11X083,Econ Disadv,134,36,,Not Econ Disadv,71,49,,0.65,0.35,0.41,7,4,41
11X089,Econ Disadv,133,20,,Not Econ Disadv,41,20,,0.76,0.24,0.2,8,2,20
11X127,Econ Disadv,174,37,,Not Econ Disadv,51,43,,0.77,0.23,0.38,8,4,38
11X144,Econ Disadv,105,26,,Not Econ Disadv,35,29,,0.75,0.25,0.27,8,3,27
11X175,Econ Disadv,16,31,,Not Econ Disadv,10,40,,0.62,0.38,0.34,6,3,34
11X180,Econ Disadv,217,37,,Not Econ Disadv,116,53,,0.65,0.35,0.43,7,4,43
11X181,Econ Disadv,211,45,,Not Econ Disadv,58,55,,0.78,0.22,0.47,8,5,47
11X194,Econ Disadv,145,34,,Not Econ Disadv,39,62,,0.79,0.21,0.4,8,4,40
11X287,Econ Disadv,155,15,,Not Econ Disadv,24,13,,0.87,0.13,0.15,9,1,15
11X326,Econ Disadv,104,30,,Not Econ Disadv,13,46,,0.89,0.11,0.32,9,3,32
11X355,Econ Disadv,79,10,,Not Econ Disadv,15,13,,0.84,0.16,0.1,8,1,10
11X370,Econ Disadv,108,18,,Not Econ Disadv,16,13,,0.87,0.13,0.17,9,2,17
11X462,Econ Disadv,62,34,,Not Econ Disadv,19,37,,0.77,0.23,0.35,8,3,35
11X468,Econ Disadv,100,35,,Not Econ Disadv,10,50,,0.91,0.09,0.36,9,4,36
11X498,Econ Disadv,72,53,,Not Econ Disadv,13,38,,0.85,0.15,0.51,8,5,51
11X529,Econ Disadv,90,32,,Not Econ Disadv,14,57,,0.87,0.13,0.35,9,4,35
11X532,Econ Disadv,78,22,,Not Econ Disadv,14,14,,0.85,0.15,0.21,8,2,21
11X556,Econ Disadv,94,32,,Not Econ Disadv,10,60,,0.9,0.1,0.35,9,3,35
11X566,Econ Disadv,108,25,,Not Econ Disadv,41,29,,0.72,0.28,0.26,7,3,26
12X098,Econ Disadv,77,0,,Not Econ Disadv,3,0,,0.96,0.04,0,10,0,0
12X129,Econ Disadv,140,21,,Not Econ Disadv,13,31,,0.92,0.08,0.22,9,2,22
12X190,Econ Disadv,79,0,,Not Econ Disadv,5,0,,0.94,0.06,0,9,0,0
12X211,Econ Disadv,45,11,,Not Econ Disadv,6,50,,0.88,0.12,0.16,9,2,16
12X214,Econ Disadv,125,18,,Not Econ Disadv,16,25,,0.89,0.11,0.19,9,2,19
12X217,Econ Disadv,78,12,,Not Econ Disadv,7,0,,0.92,0.08,0.11,9,1,11
12X242,Econ Disadv,84,26,,Not Econ Disadv,10,50,,0.89,0.11,0.29,9,3,29
12X267,Econ Disadv,74,0,,Not Econ Disadv,1,0,,0.99,0.01,0,10,0,0
12X271,Econ Disadv,80,0,,Not Econ Disadv,2,0,,0.98,0.02,0,10,0,0
12X273,Econ Disadv,49,20,,Not Econ Disadv,11,27,,0.82,0.18,0.21,8,2,21
12X286,Econ Disadv,70,16,,Not Econ Disadv,12,33,,0.85,0.15,0.18,9,2,18
12X316,Econ Disadv,115,27,,Not Econ Disadv,8,25,,0.93,0.07,0.27,9,3,27
12X318,Econ Disadv,66,0,,Not Econ Disadv,4,0,,0.94,0.06,0,9,0,0
12X341,Econ Disadv,126,0,,Not Econ Disadv,5,0,,0.96,0.04,0,10,0,0
12X383,Econ Disadv,76,25,,Not Econ Disadv,10,50,,0.88,0.12,0.28,9,3,28
13K008,Econ Disadv,33,33,,Not Econ Disadv,28,79,,0.54,0.46,0.54,5,5,54
13K113,Econ Disadv,90,18,,Not Econ Disadv,8,38,,0.92,0.08,0.2,9,2,20
13K265,Econ Disadv,27,0,,Not Econ Disadv,2,0,,0.93,0.07,0,9,0,0
13K266,Econ Disadv,22,36,,Not Econ Disadv,6,33,,0.79,0.21,0.35,8,4,35
13K282,Econ Disadv,31,32,,Not Econ Disadv,15,67,,0.67,0.33,0.43,7,4,43
13K301,Econ Disadv,23,0,,Not Econ Disadv,4,0,,0.85,0.15,0,9,0,0
13K313,Econ Disadv,53,70,,Not Econ Disadv,28,82,,0.65,0.35,0.74,7,7,74
13K351,Econ Disadv,36,25,,Not Econ Disadv,7,29,,0.84,0.16,0.26,8,3,26
13K492,Econ Disadv,10,70,,Not Econ Disadv,41,88,,0.2,0.8,0.84,2,8,84
13K527,Econ Disadv,50,38,,Not Econ Disadv,10,70,,0.83,0.17,0.43,8,4,43
13K691,Econ Disadv,64,0,,Not Econ Disadv,5,0,,0.93,0.07,0,9,0,0
14K050,Econ Disadv,69,0,,Not Econ Disadv,5,0,,0.93,0.07,0,9,0,0
14K071,Econ Disadv,37,22,,Not Econ Disadv,7,57,,0.84,0.16,0.28,8,3,28
14K084,Econ Disadv,40,13,,Not Econ Disadv,14,36,,0.74,0.26,0.19,7,2,19
14K126,Econ Disadv,99,22,,Not Econ Disadv,16,31,,0.86,0.14,0.23,9,2,23
14K157,Econ Disadv,54,35,,Not Econ Disadv,6,0,,0.9,0.1,0.32,9,3,32
14K318,Econ Disadv,249,34,,Not Econ Disadv,122,65,,0.67,0.33,0.44,7,4,44
14K577,Econ Disadv,81,58,,Not Econ Disadv,63,70,,0.56,0.44,0.63,6,6,63
14K582,Econ Disadv,63,29,,Not Econ Disadv,11,45,,0.85,0.15,0.31,9,3,31
14K586,Econ Disadv,35,0,,Not Econ Disadv,2,0,,0.95,0.05,0,9,0,0
14K614,Econ Disadv,32,38,,Not Econ Disadv,6,33,,0.84,0.16,0.37,8,4,37
15K051,Econ Disadv,112,68,,Not Econ Disadv,238,94,,0.32,0.68,0.86,3,9,86
15K088,Econ Disadv,306,44,,Not Econ Disadv,77,64,,0.8,0.2,0.48,8,5,48
15K136,Econ Disadv,134,25,,Not Econ Disadv,10,40,,0.93,0.07,0.26,9,3,26
15K442,Econ Disadv,21,57,,Not Econ Disadv,43,72,,0.33,0.67,0.67,3,7,67
15K443,Econ Disadv,55,80,,Not Econ Disadv,116,91,,0.32,0.68,0.87,3,9,87
